frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,Action Label
23,715,156,723.5,146.125,705.5,150.75,744,152.25,699.5,162.625,778,209.75,690.5,220.625,794.5,287,683.5,295.5,790,352,686,358.5,767,356,712.5,358,762.5,454.5,723.5,454,759,553,734,543,Walking
24,716,156.5,724.5,146.375,706,151.125,744,152,700,162.5,778.5,210.25,690,220.625,796,287.75,682.5,296,794,354,685.5,359,768,357,713,359,764,456.5,724,455.5,760.5,556,735,543,Walking
25,717.5,157.125,725.5,146.75,707,151.5,745,151.25,700,162.125,779,211,689.5,220.75,797,288.25,682,296,797,355.5,685,359.25,768,357.75,713,359.75,765.5,458.5,724,456.75,762.5,561,735,542.5,Walking
26,718.5,157.25,726.5,147.125,707.5,151.75,745.5,151.625,701,162.25,780,211.75,689.5,221,798,289,681.5,296.5,800,356.5,684.5,359.5,769,358.75,713,361,767,460.5,725,458,764,564,735.5,543,Walking
27,719.5,158.5,727.5,148.25,709,153,746,152.5,701.5,163.25,780.5,213,690,221.625,798.5,290.5,680.5,297.25,801.5,357.5,684,359.75,769.5,360,713,362,770,461.5,725.5,458.75,766.5,565,736.5,542.5,Walking
28,721,159.625,729,149.375,710.5,153.875,748,153.125,703,163.25,781.5,213.875,690.5,221.75,799,291,680,297.75,803.5,357.5,683.5,360.5,770.5,360.75,714,362.75,771,463,725.5,459.75,767.5,566,737,543.5,Walking
29,722.5,161.25,730.5,150.625,712,155,749,153,704,162.75,782,215.125,691,222.125,799.5,293,679.5,298,804,359.5,683,361,770.5,362.25,714,363.75,772,464.5,725.5,461,768.5,568,737.5,542.5,Walking
30,724,162.75,732,152.25,713.5,156,751,155.125,705,163.5,784,216.875,692,222.875,800,295.5,679.5,299,804,361.75,682.5,361.5,771,364,714,365.25,772,467.5,725.5,462.75,769,571.5,738,542,Walking
31,725.5,163.25,734,152.875,715,156.25,752.5,155,706,162.75,784.5,217.25,692.5,223,800.5,296,680,299.5,803.5,362.5,682,362.5,772,365,714.5,366,772,468,725.5,463,769,572,738,542.5,Walking
32,727.5,163.125,736,152.5,717,156,755,154.625,708,162.75,786.5,217.125,694,222.375,801,295.5,680.5,299,802.5,363.5,681.5,362,772.5,365.5,715,366.25,772,468.5,725,464.25,768.5,571,737.5,543,Walking
33,729.5,163.25,738,152.375,719,156,757.5,153,710.5,161.75,788.5,216.75,696,221.25,801,295.5,681,297.75,801.5,364,681,360.5,773,365.25,715.5,366,772.5,467.5,725.5,463.75,769,571,736,542,Walking
34,731.5,162.25,740,151.375,721,155,759.5,152,712,160.625,791,216.25,697.5,219.625,801,295.25,682,295.75,800.5,364.75,681,359.5,774.5,365.75,716,365.5,773.5,468.75,725,463.5,768.5,571.5,735.5,542,Walking
35,733,162.25,742,151.375,723,154.5,762,151.375,714,159.25,792.5,215.25,699,219.25,802.5,294.75,683,295.5,801,365,681,359,776,366.5,717,366,774.5,470.5,724,464,768.5,572,735,539,Walking
36,734.5,161.5,743.5,150.625,724,154.125,764,150,715.5,158.75,795.5,215.125,700.5,218.25,804,295.75,684,295.5,803,366,681,359.5,777,368,717,367.25,775.5,473.75,722,466.5,769,573,735.5,536.5,Walking
37,736,161.75,745,150.375,725.5,154.125,766.5,149.75,717,159.5,798,215.25,702,217.875,806.5,295.75,685.5,294.5,805.5,365,681.5,358.5,778,369,717,367.75,776.5,475.25,718.5,468.5,769.5,573,734,534,Walking
38,737,161.875,746,150.625,726.5,154.375,768,150,719,159.375,799.5,215.5,703.5,217.5,808.5,297,686.5,294.25,808.5,366.25,682,358.5,779,369.5,718,368,778,476.5,715,469,769,573,732,532.5,Walking
39,738,162,746.5,150.625,727.5,154.25,769,149.375,719.5,158.5,800.5,215.75,704.5,216.5,811.5,298.5,687.5,293.75,812,367.5,682.5,358.5,779,370.5,717.5,368.25,778.5,478.5,711,471,769,574,730.5,534,Walking
40,738,161.75,747,150.25,728,153.875,769.5,148.875,720,158.125,802,216.125,705,216.125,814.5,299,688.5,293.5,814,368,683.5,359,779.5,372,717,369.5,779,480,709,473,769,574,730,537,Walking
41,738.5,162.25,747.5,150.75,728,154.25,770.5,148.625,720.5,157.75,803,216,706,215.5,816.5,299,689,293.25,816.5,369.5,683.5,358.75,779.5,373,717,370.25,779.5,480.5,707.5,473.75,769.5,574,729.5,541,Walking
42,738.5,162.25,747.5,150.75,728,154.125,771,148.375,721,157.375,804,215.5,706,215,818.5,298.75,690,292.75,820,370,684.5,358.5,779.5,373.75,716.5,371,779,480.75,708,476.25,769.5,574,728,547,Walking
43,738,162.375,747,150.75,728,154.375,771,148,721,157.375,804.5,215.75,706.5,215,820,300,690.5,293.5,822.5,371,684.5,359.75,779,375.25,716,372.25,779,482,709,478.25,770,575,726.5,557,Walking
44,737.5,162.75,746.5,151,727.5,154.625,771,148,720,157.375,805,215.875,706.5,215.25,821.5,301,690.5,294,824,372.5,685,360.5,779,376.5,715.5,373.5,778.5,483.5,709,480.5,770,575,726,563,Walking
45,737,163,746,151.125,727,155.25,770.5,147.375,720,157.875,805,216.5,706,215.375,822,302,690.5,295,825,373.5,685,361.5,778,377.75,715,374.75,778,485,710,482.75,770.5,576,726,573.5,Walking
46,736,163.5,745,151.625,726,155.625,769.5,147.5,719.5,157.875,805,216.75,706,215.875,822,303,690.5,296.75,825,375.5,685,363,777.5,380,714,376.75,778,488,711,485.25,770,579,726.5,582,Walking
47,734.5,163.625,743,151.5,724,155.625,768.5,147.375,718,158,804,217.75,704.5,216.875,822,303.5,690,297.75,824.5,376.75,684,364.5,777,381.75,713.5,378.5,777,489,711.5,486.75,770,580,726,588,Walking
48,732,164,741,152.125,722,156.25,767.5,148.5,716.5,159,803,218.5,703.5,217.75,821,304.25,689,298,824,378,683,364.5,777,383.25,713,380.5,777,491.5,713.5,491.5,768.5,579,724.5,596.5,Walking
49,730,164.875,739,152.75,720,157,766,149.375,714,160.125,801.5,219,702,219,820,305,688,299.75,822,379.75,682.5,366.75,776.5,384.5,713,382,776,492,714,494,768,580.5,723,601.5,Walking
50,727.5,165.75,736.5,153.375,717.5,158,763,149.875,711.5,161.375,800,219.75,700.5,220.5,818.5,306.75,686.5,300.75,819.5,381.5,681,367.5,776.5,386,713,384,776,493.5,715.5,498.25,768,580,721,608,Walking
51,725,167.125,734,154.75,715,159,760.5,149.5,709,160.5,799,220.25,698,221.75,817,308.25,684,304.5,816.5,384,680,371.25,777,388,713,386.5,776,496.25,717,501.75,768,579,722,610.5,Walking
52,722,166.75,731,154.5,712,158.875,757,151.375,706,161.75,797,221,695,223.75,815,309.5,682,306.5,813.5,385.75,678.5,372.5,776.5,389.25,712,388,775,498,716.5,504.75,768,579.5,723.5,616,Walking
53,719.5,167.25,728,154.75,709,159.5,753.5,151.5,702.5,162.875,794,221.25,692,225,812,310.75,679.5,308.25,810,386.5,676.5,377,775,391,710,390.25,774,500,715.5,508.25,768,579,725.5,619,Walking
54,715.5,166.75,724.5,153.625,705,158.75,750.5,150.375,699,162.5,792,220.875,688.5,225.75,808.5,310.25,676.5,310.25,807,386.25,674.5,380,774,393.5,708,393.5,774,503.5,714,513.5,768,579,725,623,Walking
55,712.5,165,720.5,152.125,701.5,157.625,746.5,148.5,695.5,161.75,789.5,218.5,685.5,224.75,805.5,309,674,310.25,802.5,386,671.5,381,772,392.5,705.5,392.5,773.5,505,713,512.5,767.5,579.5,726,621,Walking
56,708,163.625,716.5,150.375,697,155.625,743,145,691,157.75,786,215.5,682,222.625,802,307,671,309.75,798,384.5,668,381.75,768.5,390,702,390.5,772.5,503.25,711,510.25,767,579,725,621,Walking
57,704.5,162,713,148.375,693,154.375,738.5,142.875,687,157.25,783,213,678.5,221.5,798.5,305,668,310,794,382.75,665,382,765.5,389,699,390.25,771.5,502.25,709,511.5,768,580,723.5,623,Walking
58,701.5,161.375,710,147.625,690,153.75,736,142,684,156.875,780.5,211.75,675.5,221,795.5,304,664.5,309.75,790.5,381.5,662,382.5,763,388.5,696,390.5,770.5,500.5,707.5,512,769,578,723,623.5,Walking
59,698,159.75,706.5,146.375,687,152.5,733.5,143.5,681.5,157.625,778,212,672,221.25,793,305,660.5,310,787,383,657,384,761.5,389.25,693.5,391.25,771,505,706,515,770.5,574.5,722.5,626,Walking
60,695,159,703.5,145.625,683.5,151.75,730.5,142.75,678,157.125,776,213.5,669,221.875,790.5,306.75,656.5,311,784,384.5,653.5,385.75,760,391,691,393,771,507.5,705,515.5,772,576.5,722.5,626,Walking
61,691,159.625,700,146.25,680,152.375,726.5,141.875,675.5,157.5,774,214.75,665.5,223.125,788,307.75,651.5,313.5,782,386,649.5,387,758,395,689,397,771,510.5,704.5,519,772,582,724,627,Walking
62,688.5,160,697,146.625,677,152.625,723,141.75,672,157.25,770.5,214.75,662.5,223,785.5,309.25,648.5,315,780.5,387.25,646,388.25,756,396.25,687,398.5,768.5,513,703.5,520,771.5,588,723,629,Walking
63,686,160,695,145.75,674.5,151,721,141.5,668.5,156.375,767.5,213,660.5,221,783,307,646.5,312.5,780,385.75,642.5,386.75,753,395,684.5,397,765.5,515,702,521,770,591,722.5,632,Walking
64,683,160.625,692,146.125,671.5,151.125,719,140.75,665.5,155.125,765,212.75,658,220.75,782,307,644.5,312.75,778.5,386,639.5,385.5,750,396.75,683,399,762,518.5,701.5,522.5,768,606,722.5,631,Walking
65,680,160.75,689,146.375,668.5,151.25,716,141,662.5,155,761.5,211.75,655,220.375,781,306.75,642,313,777,386.25,637.5,386,747.5,395.75,681,398.25,755,519,700.5,522,764,621.5,721.5,629.5,Walking
66,677,161.25,686.5,146.875,666,151.375,713.5,140.25,660,154.25,759,212,652.5,220,779.5,307.75,639.5,312,776.5,387.5,636,383.25,743.5,395,678,397.5,748,516,699,518.5,756.5,628,721.5,628,Walking
67,674,160.875,684,146.875,663,151,711,140.875,658,155,757,213.125,650,220.375,777,309,636,311,775.5,390,633.5,381,740.5,397.75,675.5,400,744,522.5,696,523,750,638.5,718,632,Walking
68,671.5,160.375,680.5,146.75,660.5,151.75,710,140.875,656,154,755,213.625,647,221.75,773,311,633,312,773,392.25,632.5,379.5,738,398.5,672,400.5,737,525.5,693,524,742.5,653,717.5,634,Walking
69,668.5,161.375,677.5,147.375,657.5,151.625,705,141.125,652,154.375,752,214.25,644.5,221.75,771.5,308,629,311,771,391.5,630,378.25,732,401,668.5,403.25,728.5,529,692.5,528,731,661,720.5,643.5,Walking
70,664,161.25,673.5,148,653.5,152.625,704.5,142.375,650,154.375,750.5,215.375,643,223.125,768.5,312.5,628,312,769.5,394.5,629,377,731.5,402,666,403,727,531,689.5,527.5,719.5,658,719,620.5,Walking
71,660.5,162.25,670.5,149.125,650.5,153.125,702,143.625,647,154.125,747.5,216.5,641,224.125,767,314.75,626,313.25,767,398,627,377.5,729,403.5,663.5,404.75,721,533,690,528,708.5,663,725.5,615,Walking
72,657,162.625,667,149.5,647,153.625,699,144.75,644,155,745,217.625,639,225,765,316.75,624,313.75,765,400.5,624.5,379,726,406.5,661.5,407.5,716.5,539,690,530.5,701,675,726.5,621,Walking
73,653.5,163,663.5,149.75,644.5,153.875,696,145.25,642,155.125,742,219.125,637,225.875,763,318,622.5,315.5,763,403,622.5,382,722,407.25,658,408.25,711,540,685,531,690.5,677,723.5,618,Walking
74,649.5,162.625,659.5,149.125,640,153.5,693,144.625,638,154.875,739,220.125,635,226.875,760,319.75,621.5,319,759,406.25,620.5,388,718,410,654.5,410.5,706,548.5,684,537,684,685.5,721.5,620,Walking
75,646,162.125,656,148.875,637.5,152.625,690.5,144.875,636,153.875,736,221.75,633,227,757.5,324,619.5,321.5,754.5,411.25,618,393,714,409.5,652.5,410,699.5,547,681,534.5,679,688,726,625,Walking
76,642,160.375,652,147,634,150.625,688.5,143.125,634,152.25,733,222.375,631,226.5,754.5,326.5,618,324,751,414.5,614.5,397.75,710.5,411,649.5,411.5,696.5,547,678.5,535,676,689,726,628,Walking
77,638.5,158.375,648.5,144.75,630.5,148.625,685.5,140.75,631,150.125,730,222.375,628.5,225,750,328.75,617,324.75,747,416.5,611.5,401,707,412,646,412.25,696,549,673.5,535,675,691,726,625,Walking
78,634,155.5,644.5,142,626.5,145.625,682,138.875,628.5,147.5,726.5,221.625,626,222.125,745,330,615.5,320.75,741,417.75,609,398.75,703.5,413,644,412.75,693.5,551,673.5,537,676,693,723.5,626,Walking
79,629,154.875,640,140.5,621,143.25,677,136.75,625.5,146,722,220,622,219.75,740.5,329,611.5,318,737,419.25,605,396.75,699.5,411,638.5,412.25,694,545.5,661,537,680.5,685,727,626,Walking
80,625,151,635,138.25,619.5,140.625,674,135.75,625.5,142,718.5,219.25,619.5,217.25,735.5,330.25,609,315.5,732,420.25,602,394.25,695.5,411,634,410.25,690.5,549.5,652.5,539.5,678.5,691,716.5,620,Walking
81,619.5,152.125,630.5,138.25,613,140.5,668,135.875,619.5,141.75,714.5,219.375,615,217.5,732,329.75,603.5,317.5,729.5,423,598,394,691,412.75,630.5,413.5,687.5,551,646.5,544,681,686,718,621,Walking
82,614.5,150.875,625.5,137.375,608.5,139.375,663,135.625,618,141.375,710,220.625,613,217.25,729.5,332.25,601,315.5,725,426.5,595,391.5,688.5,416,628.5,415.25,684,557,637.5,544,679,686,713,615,Walking
83,608,149.625,619.5,136.25,603,137.625,658,135.625,614.5,140.625,705,220.875,610.5,217,728,334,598,315.25,720,428.75,591.5,391.75,685,421.5,625,419.25,681.5,565,628,546,677.5,691,709,620.5,Walking
84,603,149.625,614,135.75,597.5,137.625,652,134.375,610,139,699.5,219.375,608.5,215.875,723.5,334,595.5,312.5,715,430.25,588,388,680.5,420,621.5,418,679,561.5,619.5,545.5,675,690,704.5,629,Walking
85,597.5,150.25,608,136.25,592,137.75,646.5,134.625,608,138.375,694,219.5,606.5,215.5,719,336,594,314,708,432.25,584,388.75,675.5,425,616.5,421.25,678.5,570,609.5,546,679,701,676.5,636,Walking
86,590.5,150,601,136,586,137,640,134.375,603,138.375,687.5,218.875,603,214.5,713.5,337,591.5,314,702,434,581,387.75,670,426.5,611,421.75,677,573.5,600,547,677.5,702.5,665,642,Walking
87,585,149.625,593,136.25,582.5,137.625,632.5,132.875,601,138.375,684,217.625,599.5,214.375,707,340.5,591.5,314,693,439.25,579.5,387.5,665.5,423.25,605.5,419,674,567.5,590.5,549,676,695,649.5,655.5,Walking
88,578,149.75,586.5,136.5,576,137.25,627,134,596,138.125,677.5,218.625,595.5,214.25,700.5,342.5,589,316,684,440,575.5,390.5,660.5,426.25,600,421.25,671,570,582.5,551,676,696,633.5,667,Walking
89,573,150.25,582.5,136.25,569,137.875,620.5,134.125,590,139,670,221,593,215,692,343.75,587.5,321,673.5,442.75,573,392.25,651.5,432,594.5,426.75,668.5,576.5,574.5,555.5,676.5,703.5,615,677,Walking
90,566,151.125,574,137.75,563.5,138.5,613.5,134.875,584,139.125,664,220.5,587.5,215.75,683,347.5,588.5,325.75,664.5,445.25,571.5,399.5,647,433.5,587.5,427.75,665.5,575,567.5,561,675,704,591,691,Walking
91,558.5,151.875,567.5,138.125,555.5,139.25,606.5,135.75,575.5,140.125,656.5,220.75,582.5,216.25,670,347.75,588.5,329.25,654,447.25,571,402.5,644,435.5,583.5,430.5,665,577.5,562,569,676.5,706,568,704,Walking
92,550.5,153.375,559.5,139.375,548.5,140.125,598.5,140.125,573.5,142.375,647,221.75,576,218.75,660,345.25,588,330.75,641,448.5,570.5,415.75,637.5,438.5,581,435,661.5,580.5,556.5,574,677.5,706.5,546.5,704.5,Walking
93,544.5,154.5,553,140.75,542.5,142.25,591.5,139.125,566,143,641,221.75,570,218.75,647,349,577.5,334,625,451.5,571,431,637,438.5,576,434.75,660,581.5,551,575,677.5,707.5,522,709.5,Walking
94,536.5,155.75,544.5,142.375,534.5,143.75,582.5,139.75,559,143.75,633.5,222.875,563,220,638,350.25,572,336.5,609.5,453.25,567.5,438,629.5,441.25,570,437.75,655.5,582.5,543,577.5,678,707.5,506,710,Walking
95,526.5,155.375,536.5,141.25,524.5,142.875,576,143.375,546.5,146.125,626,225.25,553.5,224,630.5,350.25,570,336.25,595,450.5,551.5,432,621,443,564.5,440.5,648.5,583,534,581,678,704,496.75,710,Walking
96,516.5,155.5,526.5,141.875,515.5,142.625,566,145,541,144.5,617,227,544.5,224.75,617,353,561,339.5,576,449.5,548,436.25,613.5,444.75,557.5,442.5,644,584,525,584,677,703,494,712.5,Walking
97,506.5,156.875,516,143.25,505.25,144.125,556,143.875,532.5,146.75,606.5,227.625,534.5,227.125,606.5,358.25,544,345.75,558.5,451.5,536,440.5,605.5,444.5,546,443.25,638.5,588.5,520,590,677.5,706.5,497,718.5,Walking
98,496.75,155.375,506.25,142.125,495.75,142.875,545,143,521.5,145.25,596.5,227.25,524,228.875,595,354.75,535,350,545,450,522.5,445.25,594.5,448.5,533,449,632.5,595,510.25,603,678,706.5,499.25,725,Walking
99,487,153.5,495.75,139.75,486.5,140.75,534,140.625,513.5,143.5,586,225.125,516.5,226.875,584,352.5,524,347.75,535,446,512,442,582,449.5,523,450.5,622,593.5,506.5,603,677,702,497.5,724,Walking
100,476.5,151.75,485.75,137.625,475.5,139.125,524.5,138,501.25,141.625,575.5,222.125,507,224.5,576,349.25,513,344.5,527,443,498.75,440,570,445.5,512,446.75,609.5,596,502,601.5,673.5,696,498,724.5,Walking
101,467,149.875,476.25,136.25,467,137.25,515,137.5,493.5,139.5,564.5,219.875,498,221.5,566.5,346,503.25,338.5,520.5,440.75,491,431,556.5,442,500,442.5,591,595,499.25,598,668.5,691.5,498.5,724,Walking
102,458.25,149.25,467,135.5,457.5,137,505,135.875,485.5,138.75,554,218.375,491,219.75,556,344.25,494.5,338.25,516,441.5,480,431.5,541.5,443.5,488.75,443.5,570,597,494,599,661.5,681,497.25,723.5,Walking
103,447,148.125,456.5,134.375,446,135.625,495.25,135.625,473,138.125,542,218.75,479.75,220.25,547,345.75,476,341,513,443,457,428.5,529.5,443.5,479.75,443.5,543.5,597,485.75,598,651,676,495,725.5,Walking
104,437.5,147.75,446.5,133.75,436.5,135.625,485.5,134.625,464.75,138.875,531,217.875,472,220.5,537.5,343.75,461.5,337.5,507.75,444,443.5,419.5,518,439.25,472.5,439,525.5,595.5,481,595,636,674,494.25,726,Walking
105,429.25,146.875,437.75,132.875,428,134.375,476.5,133.375,454.75,136.875,520.5,215.75,466,219.125,526.5,341.25,452,335.5,502,445.5,428.25,416.5,508,435.5,466.5,436.25,513.5,599.5,476.25,598,620,684,496.25,726,Walking
106,420.5,146.125,429,132.25,419.5,134,467.25,132.75,445.75,136.625,509,214.5,458,219.125,519,340.75,440.75,334.5,498.75,446.5,410,413.75,501,434.5,462.5,435,496,601.5,471.25,600,601.5,695.5,494.5,731,Walking
107,412,145.625,420,131.125,410.75,133.375,457.75,132.125,436.75,137.25,498.75,216,449.5,219.625,513.5,343,428,336,496,447.5,391,413,495,435.75,457.5,435,471.5,600,456.5,598,576,705.5,491,730,Walking
108,403.5,145,411.75,131,402.25,132.625,449.25,131.875,429,136.625,487.25,215,444,218.875,508,340.75,420.25,332,492,448,375.5,405.75,484.75,435.5,458.75,433.5,449.5,597,465.25,596,531,724.5,507.5,725.5,Walking
109,394.25,144.125,402,129.875,393,131.75,438.75,131.625,423,135.875,473.5,213,439.75,217.25,503.5,339.5,412.5,329.25,489.5,448,359.75,400.75,471,440.75,457.25,438,418.5,601,475.5,598,502.75,724,503.5,732,Walking
110,385.25,144,393,130.125,384.5,131.75,429.5,132.125,417,135.5,461.25,211.875,433.5,214.875,493,338.25,405.75,329.75,487.5,448.25,347,396.5,458,443.5,450.75,440.5,406.25,601,472.5,600,480,727.5,504,731,Walking
111,376.25,144.625,383.5,130.25,376,132.125,419,133,411.25,136.625,448.5,213.125,430.25,213.5,484,340.5,398,328.75,485.5,451,333,392.25,444.5,446.75,448,442.5,391.75,605,471.5,601,447.75,733,498.25,733,Walking
112,367.25,146,373.5,131.125,367,133,408.5,133.25,407.25,136,436.5,214.625,427,212.25,472,343.25,390.5,330,481.5,450.75,321.5,389.5,432.75,450.25,446.5,445,382.5,610,471,604.5,404,739,498,734.5,Walking
113,358.5,146.5,364.5,131.625,358.5,133.5,398.5,134.25,402.75,137.5,423.75,213.875,425.75,211.375,459.5,340,385.5,332,476,450.75,312.75,389.5,421,452.5,444.5,448.25,372.25,607,469.75,606,372.75,737.5,495.75,735,Walking
114,348.5,150.875,356,136.5,348,137.25,389.25,140.875,409,138.5,407.75,218.375,421,214.875,445,341.25,378,333.75,468.5,454,305.5,389.25,413.25,456.25,445,449.75,370,613,463.5,602.5,350,734,495.5,729.5,Walking
115,338.5,149.125,344.5,135.125,339,136.125,376.5,139.125,391,141.125,395.25,218.5,417,213.875,430.5,341.5,378,340.75,459.25,453.75,303,395.5,400.75,454.75,438.75,450.5,352.5,612.5,463.5,609,332.25,737,496.5,733,Walking
116,328.5,150.375,334.5,136.375,328.75,137.75,365.25,141.375,383.75,143.75,379.5,220.25,410.5,217.375,417.25,346,373.5,349.5,444.5,459.75,300,401.75,391,458,431.75,454,343,614.5,459,612,317,738,495.5,733.5,Walking
117,317.75,149.375,324.5,136.375,318.75,137,355,144.5,375.5,144.5,363,221.5,404.75,219.125,403.5,347.5,374,354.5,430.25,461.5,303,408,380.25,459,425.5,455,332.25,617,455,614.5,306.25,738.5,494.5,734.5,Walking
